,user,posts
0,alainlicious,"It’s been a while since I had yogurt beverages, and just tried @heyyogurtsg Chinese New Year series comprising Mango Pomelo 🥭, Mandarin Orange 🍊, Dragonfruit Lychee 💜 and Avocado Brown Sugar 🥑.They are offering FREE Delivery with min spend of $25 via @foodpandasg till end of Jan, or you can go to any nearest Hey Yogurt store to try the Niu drinks, available from now till 28 Feb 2021."
1,alainlicious,......#foursquare #foursquarefind #stayathome #eatathome #takeaway #foodpandasg #delivery #supportlocal #supportlocalbiz #chinesenewyear #cny2021 #sweettooth #desserts #yogurt #yogurtdrink #yogurtsmoothie #heyyogurt #heyyogurtsg
2,thornyflavours,Yummm! ❤️
3,helmimira,"After Helmi got terminated with his previous job during pandemic period, it feel disaster and stress out. Worried if we can't manage our financial. Thank god all is well after he started to work as FT rider.For the first few week, he shared his feelings on how he endure with unreliable people. I got pissed off the way he keep sighing. I told him just stay calm and work as per normal. At the end of the day, you will deserve the good deed you've been through.It is true, some of them don't care about rider situation. Especially when they said, Why you so late, you got no change ah, don't become rider la if you cannot deliver on time. 😑To those no sense of humor, you don't work as a rider. Please don't blindly blame. You wouldn't know what they have been through. Be it waiting time to collect your order or while on the road. If you feel not right, you can always message or call to check the status.To all rider, ride safe and smile behind the mask. If customer not happy with your service, talk to them in a nice way. If you get the crazy wild boar, then you guys start the tactic move back sir! Hehe..Moral of the story, don't sigh and stay cool. 👍Glad that he still continue with his job. 🤲❤🏍#iamproudofyou #frontliner #foodpanda #foodpandasg #hustledemihasil #iloveyouhusband 😘"
4,naem_rohman,Stay strong and ride safe bro.
5,leanbento,"“my most astounding record was to polish up 26 regular sized mooncakes in three weeks. It got to a point that I didn’t bother cutting them up.”.“Assuming that a regular-sized yolk mooncake contains 800kcal, I had consumed a total of 20,800kcal in addition to my regular meals in a span of three weeks.”.This mooncake monster is none other than Lean Bento’s owner and founder Charles Ng. 😈.Find out more about the clean and lean mid-autumn treat he has in store for all fellow health foodies at charleswanmushi.com. 😍______Enter promo code LEANCORE at the checkout. Promo valid until 30 September 2020. *Applies to Islandwide and same-day deliveries.*Except Seasonal Specials and Multiple Location Delivery Bundles.Go to leanbento.com/order.Call 67504504 or order@leanbento.com for humanised assistance. 💁🏻‍♀️💁🏻‍♂️______Islandwide delivery 🚚🍱💨#leanbento #bungkussg #startasterdelivery #foodpandasg #grabfoodsg #deliveroosg #sgfood #vegetariansg #lazadasg #halalcertified #halalsg #sgsme #stayhomemakansg #hawkersunited2020 #sgmakan #sgbrand #sgbrands #enterprisesg #asmesg #supportlocal #sgunited #mooncakesg #sgmidautumnfestival #halalmooncake"
6,maskon__sg,Keep it coming! Have you thought about going green and using reusable face mask? ♻️😷
7,himari_jasmine,U selling those mooncake?
8,leanbento,"Hi @himari_jasmine , yes we would be. More details about our protein moon bites are our boss’ blog post at charleswanmushi.com :)"
9,leanbento,Hi @himari_jasmine it’s out!https://www.instagram.com/p/CE1SdlcgS70/?igshid=1beso3xq2579b
